District,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),Crop,Water Consumption (liters/hectare),Water Availability (liters/hectare),Soil & Irrigation
Ajmer,7.306943612,2.507610446,30.5399196,33.03429582,40.96703184,Mustard,7805.805262,7262.24114,Clay-Drip Irrigation
Jaipur,7.19412018,2.567973923,29.23001167,19.19022592,42.1920635,Fennel,9199.905309,9581.406587,Clay-Drip Irrigation
Sri Ganganagar,7.058000572,2.066248572,28.09255293,13.39753278,41.68741037,Mango,14067.41624,14161.72869,Saline-Drip Irrigation
Bhilwara,6.44508088,2.669663295,26.56730623,25.81688028,45.34396161,Cotton,12431.49424,12074.77075,Clay-Sprinkler Irrigation
Alwar,7.72343625,1.8287254,30.85231885,15.18633717,38.9669436,Wheat,17436.65886,17866.0239,Clay-Drip Irrigation
Ajmer,7.949179784,2.56238836,27.43705602,23.41606202,46.95127664,Maize,16104.83833,15178.43041,Black lava soil-Tube Well
Kota,7.442001464,2.948943646,29.43093731,25.42611132,40.19277584,Bajra,13310.5613,12879.77876,Chalky (Calcareous)-Sprinkler Irrigation
Ajmer,6.984022379,2.297745449,27.05052622,19.33915322,40.36139483,Mango,13700.15472,14586.85054,Sandy-Drip Irrigation
Kota,7.745714726,2.284880179,30.97740866,19.50577399,42.17987695,Bajra,7486.885655,7015.676647,Chalky (Calcareous)-Canal Irrigation
Alwar,6.942976775,2.129330574,31.06369888,23.91436867,37.84437215,Chilli,6549.980603,6429.088352,Nitrogenous-Drip Irrigation
Jaipur,7.67105302,2.958629574,22.37214146,14.22918308,44.27600754,Cumin,15567.96604,15062.27317,Chalky (Calcareous)-Canal Irrigation
Bhilwara,6.805728723,1.199864448,23.91358654,20.79731253,35.53606242,Coriander,11178.38913,11911.93894,Saline-Tube Well
Hanumangarh,7.179459367,2.329527172,35.13447309,22.99788771,48.0939382,Pulses,9965.279231,9867.05094,Nitrogenous-Tube Well
Jaipur,7.462827335,1.907724279,32.96164774,20.49656907,38.04795631,Gram,14615.2967,14165.22175,Chalky (Calcareous)-Sprinkler Irrigation
